,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11755,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19763343.0,19763343.0,False,,1,,,,2024-10-05T11:21:00.000Z,62179.394901575055,25643802138.916946,-20.551,-0.07413101,1.21604406,-5.45125361,9.65178204,12.89064457,8.29162635,1228872708972.279,58.1028,1305767292933.08,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
1,1027,Ethereum,ETH,ethereum,9376,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120375248.28638706,120375248.28638706,True,,2,,,,2024-10-05T11:21:00.000Z,2418.140964581345,12750410127.656757,-19.932,-0.26161438,1.5441387,-9.58537625,1.19249352,-1.49701738,-19.75123989,291084319002.9629,13.7629,291084319002.96,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
2,825,Tether USDt,USDT,tether,99412,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119641989887.49706,121372645826.72647,True,,3,,,,2024-10-05T11:21:00.000Z,0.9999433153662,45806905887.79031,-18.7811,-0.01214773,0.01724698,-0.00768239,0.01474222,-0.04411282,-0.00591395,119635208025.11317,5.6565,121365765862.74,,2024-10-05T11:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-05 17:07:55.297254
3,5426,Solana,SOL,solana,749,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,468597902.30190873,585980767.2702671,True,,4,,,,2024-10-05T11:21:00.000Z,143.80864079379478,2077755750.2787364,-18.0106,-0.46131936,2.83405625,-8.58043764,8.77061097,3.50077801,3.1359557,67388427408.86093,3.1877,84269097672.44,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
4,3408,USDC,USDC,usd-coin,22298,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35523231316.690186,35523231316.690186,False,,5,,,,2024-10-05T11:21:00.000Z,0.9999386690665525,5171554226.058046,-14.7232,-0.01735688,0.007345,0.00906001,0.01051991,-0.0099857,-0.00316709,35521052643.75446,1.6795,35521052643.75,,2024-10-05T11:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-05 17:07:55.297254
5,1839,BNB,BNB,bnb,2252,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,58859989.98963426,58859989.98963426,False,,6,,,,2024-10-05T11:21:00.000Z,562.0456540673927,1541845486.272,-0.5223,-0.31253959,1.58168143,-6.67533524,11.4696407,17.61572927,10.60556841,33082001572.124172,1.5646,33082001572.12,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
6,52,XRP,XRP,xrp,1400,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56564039920.0,99987161962.0,False,,7,,,,2024-10-05T11:21:00.000Z,0.5319933642656333,1116457667.293748,-26.5173,-0.21766012,1.58660096,-14.2890904,-3.35304274,6.56846232,22.65866675,30091693893.49638,1.4228,53199336426.56,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
7,74,Dogecoin,DOGE,dogecoin,1076,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146239146383.70523,146239146383.70523,True,,8,,,,2024-10-05T11:21:00.000Z,0.10941784479407776,583214717.054247,-22.9111,-0.32125181,1.4548979,-11.87956885,12.43171355,14.24873226,-0.62604895,16001172221.830677,0.7569,16001172221.83,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
8,11419,Toncoin,TON,toncoin,570,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2535259463.0012608,5112598290.401781,True,,9,3414166606.0,18357641245.871532,,2024-10-05T11:21:00.000Z,5.376902583960056,146281684.21271735,-27.065,-0.0768541,0.25686245,-9.34461387,15.31023965,-1.6484104,-28.95305735,13631843157.620663,0.6445,27489942958.41,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
9,1958,TRON,TRX,tron,1043,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86586902285.3029,86586917897.13237,True,,10,71659659264.0,11034391352.924566,,2024-10-05T11:21:00.000Z,0.15398330757159998,259597777.68473983,-30.1811,0.06533134,-2.21919226,-0.32090292,1.92753675,25.90561005,18.78400884,13332937606.269869,0.6307,13332940010.23,,2024-10-05T11:21:00.000Z,,,,,,2024-10-05 17:07:55.297254
